Package                                    Size MiB  Build Seconds  Build Time
media-libs/libcanberra                            0              0  -
media-libs/libdisplay-info                        0              0  -
media-libs/libogg                                 0              0  -
media-sound/pulsemixer                            0              0  -
net-analyzer/hping                                0              0  -
net-analyzer/iftop                                0              0  -
net-analyzer/iptraf-ng                            0              0  -
net-analyzer/netcat                               0              0  -
net-analyzer/nethogs                              0              0  -
net-analyzer/ngrep                                0              0  -
net-analyzer/ssmping                              0              0  -
net-dns/bind-tools                                0              0  -
net-dns/c-ares                                    0              0  -
net-libs/libasyncns                               0              0  -
net-libs/liblockfile                              0              0  -
net-libs/libmnl                                   0              0  -
net-libs/libnsl                                   0              0  -
net-libs/libpsl                                   0              0  -
net-libs/libtirpc                                 0              0  -
net-libs/llhttp                                   0              0  -
net-libs/nghttp2                                  0              0  -
net-libs/nghttp3                                  0              0  -
net-mail/mailbase                                 0              0  -
net-misc/autossh                                  0              0  -
net-misc/bridge-utils                             0              0  -
net-misc/ipcalc                                   0              0  -
net-misc/iputils                                  0              0  -
net-misc/netifrc                                  0              0  -
net-misc/sipcalc                                  0              0  -
net-misc/udpcast                                  0              0  -
net-misc/whois                                    0              0  -
net-wireless/iw                                   0              0  -
net-wireless/wireless-regdb                       0              0  -
perl-core/File-Temp                               0              0  -
sec-keys/openpgp-keys-gentoo-release              0              0  -
sys-apps/acl                                      0              0  -
sys-apps/attr                                     0              0  -
sys-apps/baselayout                               0              0  -
sys-apps/cpuid                                    0              0  -
sys-apps/dmidecode                                0              0  -
sys-apps/gentoo-functions                         0              0  -
sys-apps/help2man                                 0              0  -
sys-apps/install-xattr                            0              0  -
sys-apps/kmod                                     0              0  -
sys-apps/less                                     0              0  -
sys-apps/lm-sensors                               0              0  -
sys-apps/locale-gen                               0              0  -
sys-apps/lsb-release                              0              0  -
sys-apps/pciutils                                 0              0  -
sys-apps/pv                                       0              0  -
sys-apps/sandbox                                  0              0  -
sys-apps/sysvinit                                 0              0  -
sys-apps/usbutils                                 0              0  -
sys-apps/which                                    0              0  -
sys-auth/pambase                                  0              0  -
sys-auth/passwdqc                                 0              0  -
sys-devel/bc                                      0              0  -
sys-devel/binutils-config                         0              0  -
sys-devel/gcc-config                              0              0  -
sys-devel/gnuconfig                               0              0  -
sys-devel/patch                                   0              0  -
sys-fs/fuse                                       0              0  -
sys-fs/fuse                                       0              0  -
sys-fs/fuse-common                                0              0  -
sys-fs/udev-init-scripts                          0              0  -
sys-libs/libcap                                   0              0  -
sys-libs/libseccomp                               0              0  -
sys-libs/libutempter                              0              0  -
sys-libs/libxcrypt                                0              0  -
sys-libs/mtdev                                    0              0  -
sys-libs/zlib                                     0              0  -
sys-power/acpi                                    0              0  -
sys-process/htop                                  0              0  -
sys-process/iotop                                 0              0  -
sys-process/lsof                                  0              0  -
virtual/acl                                       0              0  -
virtual/commonlisp                                0              0  -
virtual/dev-manager                               0              0  -
virtual/editor                                    0              0  -
virtual/freedesktop-icon-theme                    0              0  -
virtual/libc                                      0              0  -
virtual/libcrypt                                  0              0  -
virtual/libelf                                    0              0  -
virtual/libiconv                                  0              0  -
virtual/libintl                                   0              0  -
virtual/libudev                                   0              0  -
virtual/libusb                                    0              0  -
virtual/linux-sources                             0              0  -
virtual/logger                                    0              0  -
virtual/man                                       0              0  -
virtual/minizip                                   0              0  -
virtual/mta                                       0              0  -
virtual/openssh                                   0              0  -
virtual/os-headers                                0              0  -
virtual/package-manager                           0              0  -
virtual/pager                                     0              0  -
virtual/perl-Carp                                 0              0  -
virtual/perl-Compress-Raw-Bzip2                   0              0  -
virtual/perl-Compress-Raw-Zlib                    0              0  -
virtual/perl-CPAN                                 0              0  -
virtual/perl-CPAN-Meta                            0              0  -
virtual/perl-Data-Dumper                          0              0  -
virtual/perl-Encode                               0              0  -
virtual/perl-Exporter                             0              0  -
virtual/perl-ExtUtils-CBuilder                    0              0  -
virtual/perl-ExtUtils-MakeMaker                   0              0  -
virtual/perl-ExtUtils-ParseXS                     0              0  -
virtual/perl-File-Path                            0              0  -
virtual/perl-File-Spec                            0              0  -
virtual/perl-File-Temp                            0              0  -
virtual/perl-IO                                   0              0  -
virtual/perl-IO-Compress                          0              0  -
virtual/perl-JSON-PP                              0              0  -
virtual/perl-Math-BigInt                          0              0  -
virtual/perl-MIME-Base64                          0              0  -
virtual/perl-Module-Metadata                      0              0  -
virtual/perl-podlators                            0              0  -
virtual/perl-Scalar-List-Utils                    0              0  -
virtual/perl-Test-Harness                         0              0  -
virtual/perl-Text-ParseWords                      0              0  -
virtual/perl-Time-Local                           0              0  -
virtual/perl-version                              0              0  -
virtual/perl-XSLoader                             0              0  -
virtual/pkgconfig                                 0              0  -
virtual/rubygems                                  0              0  -
virtual/ruby-ssl                                  0              0  -
virtual/service-manager                           0              0  -
virtual/ssh                                       0              0  -
virtual/tmpfiles                                  0              0  -
virtual/ttf-fonts                                 0              0  -
virtual/udev                                      0              0  -
virtual/w3m                                       0              0  -
virtual/zlib                                      0              0  -
x11-apps/bdftopcf                                 0              0  -
x11-apps/fonttosfnt                               0              0  -
x11-apps/iceauth                                  0              0  -
x11-apps/luit                                     0              0  -
x11-apps/mkfontscale                              0              0  -
x11-apps/rgb                                      0              0  -
x11-apps/setxkbmap                                0              0  -
x11-apps/xauth                                    0              0  -
x11-apps/xhost                                    0              0  -
x11-apps/xinit                                    0              0  -
x11-apps/xkbcomp                                  0              0  -
x11-apps/xkill                                    0              0  -
x11-apps/xmessage                                 0              0  -
x11-apps/xprop                                    0              0  -
x11-apps/xrandr                                   0              0  -
x11-apps/xrdb                                     0              0  -
x11-apps/xset                                     0              0  -
x11-base/xorg-drivers                             0              0  -
x11-drivers/xf86-input-libinput                   0              0  -
x11-drivers/xf86-video-amdgpu                     0              0  -
x11-libs/libfontenc                               0              0  -
x11-libs/libICE                                   0              0  -
x11-libs/libpciaccess                             0              0  -
x11-libs/libSM                                    0              0  -
x11-libs/libvdpau                                 0              0  -
x11-libs/libXau                                   0              0  -
x11-libs/libXcomposite                            0              0  -
x11-libs/libXcursor                               0              0  -
x11-libs/libxcvt                                  0              0  -
x11-libs/libXdamage                               0              0  -
x11-libs/libXdmcp                                 0              0  -
